seed,basin,A_baseline,B_topology_features,C_graph_messages,B_minus_A,C_minus_A,C_minus_B
42,01030500,0.7837934345006943,0.6394395478604068,0.6674237549219723,-0.14435388664028748,-0.11636967957872202,0.027984207061565458
42,01031500,0.7636595666408539,0.723768346124001,0.7339472032988166,-0.0398912205168529,-0.029712363342037307,0.010178857174815592
42,01047000,0.7865588963031769,0.7530703767119111,0.7597972299005032,-0.03348851959126575,-0.026761666402673634,0.006726853188592119
42,01052500,0.7867127805948257,0.7085128326969825,0.6915517484490223,-0.07819994789784324,-0.0951610321458034,-0.016961084247960168
42,01054200,0.6010469198226929,0.5643396452001612,0.5362654384691841,-0.03670727462253165,-0.06478148135350881,-0.028074206730977158
42,01055000,0.6737622618675232,0.6702823232552227,0.5846499749202426,-0.0034799386123004483,-0.08911228694728057,-0.08563234833498012
42,01057000,0.750672310590744,0.7402362554141084,0.7519968807181079,-0.010436055176635595,0.0013245701273638666,0.011760625303999461
42,01078000,0.7837361544370651,0.7336040990880945,0.7264811354709475,-0.05013205534897058,-0.05725501896611762,-0.007122963617147038
42,01134500,0.801445409655571,0.6899191378948325,0.6674637448892032,-0.11152627176073848,-0.13398166476636775,-0.022455393005629265
42,01137500,0.6902819573879242,0.6921986775910736,0.6210508457560882,0.001916720203149369,-0.06923111163183604,-0.07114783183498541
42,01139000,0.7656642347574234,0.7352453252783706,0.6709322848831526,-0.03041890947905279,-0.0947319498742708,-0.06431304039521801
42,01139800,0.6167219877243042,0.7007535819787658,0.4646244083054912,0.0840315942544616,-0.15209757941881302,-0.23612917367327463
42,01142500,0.6569927632808685,0.6794089932410521,0.6370916918547993,0.022416229960183554,-0.019901071426069228,-0.04231730138625278
42,01144000,0.800604835152626,0.681304753752045,0.6668359255919398,-0.11930008140058102,-0.1337689095606862,-0.014468828160105196
42,01169000,0.5702750086784363,0.5676013156377859,0.5983133134948867,-0.002673693040650349,0.02803830481645042,0.03071199785710077
42,01181000,0.5566632747650146,0.516020476166837,0.5709070594159189,-0.040642798598177654,0.014243784650904256,0.05488658324908191
42,01187300,0.7289079427719116,0.6013899688249391,0.6085984412018868,-0.1275179739469725,-0.12030950157002485,0.007208472376947661
42,01333000,0.5187482535839081,0.5565868374191887,0.5656821706018573,0.037838583835280604,0.046933917017949245,0.009095333182668641
42,01350000,0.694953590631485,0.626205776935146,0.6752410475027439,-0.06874781369633898,-0.019712543128741045,0.04903527056759793
42,01350080,0.3174446821212768,0.3829422128766787,0.4341753304600679,0.06549753075540188,0.1167306483387911,0.05123311758338922
42,01350140,0.3851075172424316,0.3347082651748875,0.3722246381769849,-0.05039925206754409,-0.012882879065446662,0.037516373002097425
42,01365000,0.7305883765220642,0.6366263861091335,0.7010035173689402,-0.09396199041293074,-0.029584859153124032,0.06437713125980671
42,01411300,-0.1661275625228881,-0.3203852219425589,-0.0320770058922539,-0.15425765941967082,0.1340505566306342,0.288308216050305
42,01413500,0.5921889841556549,0.5517029943208518,0.5616140589950783,-0.040485989834803116,-0.030574925160576583,0.009911064674226533
42,01414500,0.5609484314918518,0.5643844607786432,0.5699204307127294,0.003436029286791431,0.008971999220877547,0.005535969934086116
42,01415000,0.471235990524292,0.6173988515747874,0.6560265781594226,0.14616286105049536,0.18479058763513057,0.0386277265846352
42,01423000,0.7870235592126846,0.5752968184051679,0.6144368207171578,-0.21172674080751674,-0.17258673849552686,0.039140002311989885
42,01434025,0.5085485279560089,0.450291847127975,0.4088217507001815,-0.058256680828033924,-0.0997267772558274,-0.04147009642779348
42,01435000,0.6499634981155396,0.5674386694104316,0.6284384480207801,-0.08252482870510791,-0.021525050094759468,0.06099977861034844
42,01439500,0.7331500947475433,0.7017044102566651,0.7233485138806353,-0.031445684490878256,-0.009801580866908077,0.02164410362397018
