network,contrast,n,median,mean,frac_pos
component0,topo_benefit_with_ID,183.0,-0.001482233226863805,-0.007765168839593068,0.4918032786885246
component0,topo_benefit_without_ID,183.0,0.002874656959374944,-0.0285007628279565,0.5191256830601093
component0,encoding_cost,183.0,0.011780887886827074,0.044789517108899814,0.5519125683060109
component0,interaction,,-0.004356890186238749,,
