basin,baseline,mean_agg,attention,sigmoid_gate,ensemble_mean,best_variant,best_nse
08101000,0.5415960683866875,0.5704129583501472,0.572120230127752,0.5719816481260578,0.5728430747300589,ensemble_mean,0.5728430747300589
08103900,0.41927634300410777,0.45088604791719855,0.4555211768445252,0.4553073041726804,0.4543132513647773,attention,0.4555211768445252
08104900,0.588408943410814,0.6359720531463043,0.5991290230402192,0.6091170107578129,0.6152598978820463,mean_agg,0.6359720531463043
08109700,0.567636642919894,0.5772693249246253,0.5374189859302323,0.5389055740004803,0.5578346007042476,mean_agg,0.5772693249246253
08150800,-1.8224406111190952,-2.34271971568435,-2.47419116019374,-2.4761964262531904,-2.430033090929232,mean_agg,-2.34271971568435
08155200,0.1789805766055077,0.25258834123788776,0.2656444545010759,0.2671724327730193,0.26438719881725503,sigmoid_gate,0.2671724327730193
08158700,0.3483267314013493,0.4769861558190861,0.4231925837154744,0.4242499944854917,0.4486189567452914,mean_agg,0.4769861558190861
08158810,0.44403766558193136,0.5294522538333537,0.49492102074635513,0.49556305322013583,0.508396104170871,mean_agg,0.5294522538333537
08164000,0.5735323867930019,0.5459859516139798,0.5865017754078259,0.5870302000011467,0.5760365366416976,sigmoid_gate,0.5870302000011467
08164300,0.36352406344191324,0.4375978587422641,0.4307207134157729,0.43189637971858263,0.4382375488865877,ensemble_mean,0.4382375488865877
08165300,-6.251390614123486,-11.564166752250081,-10.21112482306197,-10.179638171157908,-10.641283536052182,sigmoid_gate,-10.179638171157908
08171300,0.5274644360236116,0.5595174899734658,0.5688036942288794,0.5687418704509866,0.5706787776725554,ensemble_mean,0.5706787776725554
08175000,0.6181131839868068,0.5839533567233626,0.5067458544016079,0.5026833711013233,0.5387012688087754,mean_agg,0.5839533567233626
08176900,0.4860403193301912,0.5009054670812221,0.4969882274870525,0.4973945520389642,0.5014440045664414,ensemble_mean,0.5014440045664414
08178880,0.544846199623866,0.5730533552804257,0.5986473883757684,0.6029542720614522,0.593656636895098,sigmoid_gate,0.6029542720614522
08189500,0.8342822657670237,0.8943727141982013,0.8791599700649491,0.8771591709369779,0.8852338335125287,mean_agg,0.8943727141982013
08190000,0.40098639332610153,0.44177881201141844,0.47622038112703924,0.4732753476375774,0.4710944373946253,attention,0.47622038112703924
08190500,-0.6932035717601284,-1.5323058801859446,-1.9083967224077525,-1.914723300803879,-1.7654218310035308,mean_agg,-1.5323058801859446
08195000,0.6508886372296514,0.5662887612087415,0.5066284935038983,0.5070720888151765,0.5304746301871008,mean_agg,0.5662887612087415
08196000,0.3071693598870605,0.2926126038800433,0.2938123450610185,0.2964277971766862,0.2955602458180354,sigmoid_gate,0.2964277971766862
08198500,0.1972825246679928,0.11544802942703947,0.15603440696752913,0.15659597175381212,0.14446984128907836,sigmoid_gate,0.15659597175381212
08200000,0.4226628279975714,0.5168369355973665,0.5117695719726945,0.510290997101726,0.5135902360503557,mean_agg,0.5168369355973665
08202700,0.381882087549932,0.44697039648325376,0.4373454875912003,0.43952834168468013,0.44177283425461156,mean_agg,0.44697039648325376
