basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.083383836
08103900,1,True,0.08503268
08104900,1,True,0.04829564
08109700,1,True,0.110747404
08150800,1,True,0.048105713
08155200,1,True,0.09409715
08158700,1,True,0.15102392
08158810,1,True,0.13287199
08164000,1,True,0.1017289
08164300,1,True,0.07199922
08165300,1,True,0.1186533
08171300,1,True,0.117215626
08175000,1,True,0.08466688
08176900,1,True,0.09307823
08178880,1,True,0.074858725
08189500,1,True,0.11604794
08190000,1,True,0.12923765
08190500,1,True,0.12886284
08195000,1,True,0.10911924
08196000,1,True,0.16572936
08198500,1,True,0.16957556
08200000,1,True,0.07520383
08202700,1,True,0.09651129
