basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0019879632,True
08103900,0.0020733166,True
08104900,0.0007333211,True
08109700,0.0049833846,True
08150800,0.014877701,True
08155200,0.005092211,True
08158700,0.0050637187,True
08158810,0.012794859,True
08164000,0.0029016393,True
08164300,0.0131558115,True
08165300,0.026409863,True
08171300,0.0071722176,True
08175000,0.0045697778,True
08176900,0.004878679,True
08178880,0.009709536,True
08189500,0.0012511173,True
08190000,0.016147044,True
08190500,0.034113754,True
08195000,0.0036558623,True
08196000,0.02585456,True
08198500,0.00804863,True
08200000,0.0049739582,True
08202700,0.037222672,True
