basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.11522759
08103900,1,True,0.0644092
08104900,1,True,0.04988277
08109700,1,True,0.10466685
08150800,1,True,0.04219462
08155200,1,True,0.11367057
08158700,1,True,0.14240284
08158810,1,True,0.13556603
08164000,1,True,0.07351465
08164300,1,True,0.10511338
08165300,1,True,0.07275945
08171300,1,True,0.10222025
08175000,1,True,0.08523543
08176900,1,True,0.07104099
08178880,1,True,0.0848378
08189500,1,True,0.043833274
08190000,1,True,0.11172617
08190500,1,True,0.098449774
08195000,1,True,0.079056025
08196000,1,True,0.17819066
08198500,1,True,0.13077661
08200000,1,True,0.09530193
08202700,1,True,0.16858152
