basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.12974972
08103900,1,True,0.21946226
08104900,1,True,0.13377476
08109700,1,True,0.107513875
08150800,1,True,0.120963454
08155200,1,True,0.08233695
08158700,1,True,0.13405958
08158810,1,True,0.1271722
08164000,1,True,0.042758297
08164300,1,True,0.07209241
08165300,1,True,0.112231575
08171300,1,True,0.085986614
08175000,1,True,0.07219738
08176900,1,True,0.050369956
08178880,1,True,0.05792765
08189500,1,True,0.062401205
08190000,1,True,0.09259904
08190500,1,True,0.079596795
08195000,1,True,0.14854687
08196000,1,True,0.12547389
08198500,1,True,0.09966133
08200000,1,True,0.06881825
08202700,1,True,0.068327226
