basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.027610272,True
08103900,0.055871796,True
08104900,0.013139058,True
08109700,0.035495758,True
08150800,0.024785379,True
08155200,0.047042504,True
08158700,0.067051314,True
08158810,0.07836027,True
08164000,0.013283947,True
08164300,0.035094526,True
08165300,0.06998913,True
08171300,0.045346446,True
08175000,0.025860516,True
08176900,0.025826309,True
08178880,0.032015927,True
08189500,0.009391975,True
08190000,0.085828625,True
08190500,0.06589783,True
08195000,0.05353296,True
08196000,0.15221724,True
08198500,0.03301926,True
08200000,0.021025542,True
08202700,0.07480081,True
