basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,-1,False,0.077629104
08103900,-1,False,0.07057732
08104900,-1,False,0.055658374
08109700,-1,False,0.114452526
08150800,-1,False,0.1636352
08155200,-1,False,0.08748286
08158700,-1,False,0.09276213
08158810,-1,False,0.12012574
08164000,-1,False,0.080861025
08164300,-1,False,0.122480996
08165300,-1,False,0.117547885
08171300,-1,False,0.099241674
08175000,-1,False,0.10478103
08176900,-1,False,0.106889725
08178880,-1,False,0.098208115
08189500,-1,False,0.08452409
08190000,-1,False,0.09387213
08190500,-1,False,0.15104736
08195000,-1,False,0.074193604
08196000,-1,False,0.12114257
08198500,-1,False,0.093185544
08200000,-1,False,0.089400195
08202700,-1,False,0.26587853
