contrast,metric,seed,basin,delta
L_minus_G,NSE,17,03456500,-0.04333872608190181
L_minus_G,NSE,17,03182500,0.015398531413209793
L_minus_G,NSE,17,01539000,0.2575634826070895
L_minus_G,NSE,17,01350000,0.08475098194873198
L_minus_G,NSE,17,03238500,-0.00455059296655369
L_minus_G,NSE,17,01030500,0.1766041263346133
L_minus_G,NSE,17,01365000,0.0898866914688129
L_minus_G,NSE,17,03460000,-0.09311388901984452
L_minus_G,NSE,17,02046000,0.041211143853005616
L_minus_G,NSE,17,03028000,0.09162126145322158
L_minus_G,NSE,17,01350080,-0.3623379125274263
L_minus_G,NSE,17,01484100,0.2386307119581944
L_minus_G,NSE,17,02015700,0.04691235808229832
L_minus_G,NSE,17,04224775,0.06788879189270514
L_minus_G,NSE,17,01466500,0.42816070058970424
L_minus_G,NSE,17,02016000,0.11299375016207391
L_minus_G,NSE,17,01134500,0.03391143209647429
L_minus_G,NSE,17,01518862,0.18416135145012746
L_minus_G,NSE,17,01545600,0.19859697986755198
L_minus_G,NSE,17,04197100,-0.08126957457079997
L_minus_G,NSE,17,01549500,0.09661446333886514
L_minus_G,NSE,17,02140991,-0.06643900172239481
L_minus_G,NSE,17,03049000,0.024528689196879228
L_minus_G,NSE,17,02111500,0.0015886799943960472
L_minus_G,NSE,17,03450000,0.026174126106701112
L_minus_G,NSE,17,04122200,0.12192870338811179
L_minus_G,NSE,17,02053800,0.007323094776118033
L_minus_G,NSE,17,04196800,0.03355229782634506
L_minus_G,NSE,17,02017500,-0.04335821166595799
L_minus_G,NSE,17,03165000,-0.05655228237286336
L_minus_G,NSE,17,01543000,0.0999676421614023
L_minus_G,NSE,17,01491000,-0.03145388871040211
L_minus_G,NSE,17,02051500,0.11416877596854869
L_minus_G,NSE,17,02070000,0.17848979191855352
L_minus_G,NSE,17,01415000,-0.009147518946450606
L_minus_G,NSE,17,03011800,0.1092468538489142
L_minus_G,NSE,17,02014000,-0.08301037554176616
L_minus_G,NSE,17,02028500,0.012369581820278142
L_minus_G,NSE,17,02056900,-0.08685349078017102
L_minus_G,NSE,17,01516500,0.06111572775997476
L_minus_G,NSE,17,03213700,0.09667019914197295
L_minus_G,NSE,17,01547700,0.15678861591918802
L_minus_G,NSE,17,01485500,0.030574036166653773
L_minus_G,NSE,17,01632900,0.06608997059200528
L_minus_G,NSE,17,02027000,0.06670526878421223
L_minus_G,NSE,17,01078000,0.02086257038492756
L_minus_G,NSE,17,03049800,-0.0759154199258214
L_minus_G,NSE,17,01606500,0.10496327935869132
L_minus_G,NSE,17,02065500,-0.13877144115526452
L_minus_G,NSE,17,03164000,0.18969257694103658
L_minus_G,NSE,17,02137727,0.04943140769991483
L_minus_G,NSE,17,03498500,0.08653359730752364
L_minus_G,NSE,17,02069700,0.16756945127932354
L_minus_G,NSE,17,03463300,-0.10446075738975613
L_minus_G,NSE,17,03173000,0.029701399067077472
L_minus_G,NSE,17,01532000,0.09011401865390412
L_minus_G,NSE,17,03186500,0.10420162244360898
L_minus_G,NSE,17,03488000,-0.22082721699857089
L_minus_G,NSE,17,01557500,0.12532176224417868
L_minus_G,NSE,17,01658500,0.20445855008701763
L_minus_G,NSE,17,01596500,0.04940231723793709
L_minus_G,NSE,17,01644000,0.19486916268130516
L_minus_G,NSE,17,04213000,-0.011179129577391533
L_minus_G,NSE,17,01487000,-0.06070466070491709
L_minus_G,NSE,17,01669000,-0.012937790439928043
L_minus_G,NSE,17,01142500,0.007437009177680087
L_minus_G,NSE,17,04105700,0.34256498117603584
L_minus_G,NSE,17,01413500,0.05738250240958653
L_minus_G,NSE,17,01613050,0.06219237044467929
L_minus_G,NSE,17,03076600,-0.04142280799081077
L_minus_G,NSE,17,01423000,0.19821696333310945
L_minus_G,NSE,17,01411300,0.6374395665401453
L_minus_G,NSE,17,01139800,-0.014990362628550802
L_minus_G,NSE,17,01605500,0.09252130312006479
L_minus_G,NSE,17,03066000,0.015639698426578197
L_minus_G,NSE,17,03069500,0.08917522860612992
L_minus_G,NSE,17,03473000,0.1280663499943382
L_minus_G,NSE,17,02081500,0.20389141615026152
L_minus_G,NSE,17,01634500,0.052379965852076826
L_minus_G,NSE,17,01439500,0.04745087316216301
L_minus_G,NSE,17,03070500,0.03125638562482225
L_minus_G,NSE,17,02143040,0.03620376121923885
L_minus_G,NSE,17,01055000,0.10575662631489724
L_minus_G,NSE,17,02112360,0.12733147810020617
L_minus_G,NSE,17,01669520,0.23769652973533462
L_minus_G,NSE,17,03180500,0.002360577761228888
L_minus_G,NSE,17,01638480,0.18878454432990965
L_minus_G,NSE,17,02053200,0.2897671152897773
L_minus_G,NSE,17,01169000,0.032412075419307906
L_minus_G,NSE,17,01350140,0.06548612971263912
L_minus_G,NSE,17,01591400,-0.0661441504706316
L_minus_G,NSE,17,01586610,0.19795184511747765
L_minus_G,NSE,17,01434025,0.11529205917945173
L_minus_G,NSE,17,03439000,-0.0317424976191476
L_minus_G,NSE,17,02178400,-0.02041123708840764
L_minus_G,NSE,17,01664000,0.10629050327999812
L_minus_G,NSE,17,03015500,0.09879065221753502
L_minus_G,NSE,17,04296000,-0.07386562588949319
L_minus_G,NSE,17,02112120,0.20893068625123135
L_minus_G,NSE,17,02082950,0.4908258652395411
L_minus_G,NSE,17,01639500,0.1968031026264765
L_minus_G,NSE,17,01047000,0.10111262693148615
L_minus_G,NSE,17,02074500,0.13299672125414008
L_minus_G,NSE,17,01054200,0.11975930518526234
L_minus_G,NSE,17,02177000,0.01922475298111226
L_minus_G,NSE,17,03500240,-0.04443362880141355
L_minus_G,NSE,17,04233000,0.12722128012465295
L_minus_G,NSE,17,03237280,-0.06436844227721106
L_minus_G,NSE,17,01548500,0.0981566564450288
L_minus_G,NSE,17,02125000,0.27417461156869716
L_minus_G,NSE,17,03479000,-0.008487302728103052
L_minus_G,NSE,17,02118500,0.1407930544927375
L_minus_G,NSE,17,01139000,0.0026726025854365565
L_minus_G,NSE,17,01187300,0.15369068836142996
L_minus_G,NSE,17,03504000,0.0019095694068285152
L_minus_G,NSE,17,02011400,0.07568977187241632
L_minus_G,NSE,17,01568000,0.1049821258425282
L_minus_G,NSE,17,01543500,0.09257548685260975
L_minus_G,NSE,17,01031500,0.07010665062538513
L_minus_G,NSE,17,01567500,-0.09791248515798334
L_minus_G,NSE,17,02027500,0.10786147576046246
L_minus_G,NSE,17,03010655,0.12718716119281626
L_minus_G,NSE,17,04216418,0.09370239384646739
L_minus_G,NSE,17,02152100,0.05010281261387328
L_minus_G,NSE,17,01510000,0.12602584967639008
L_minus_G,NSE,17,03026500,0.058693955896398364
L_minus_G,NSE,17,02128000,0.2527512076110735
L_minus_G,NSE,17,04256000,-0.04240731489114169
L_minus_G,NSE,17,01620500,-0.002180463749781425
L_minus_G,NSE,17,03455500,-0.11990761504057579
L_minus_G,NSE,17,01451800,0.06959832177645908
L_minus_G,NSE,17,04185000,0.19037739165024503
L_minus_G,NSE,17,02111180,-0.03579250956539781
L_minus_G,NSE,17,01594950,0.023624860338101517
L_minus_G,NSE,17,01580000,0.23870367421706717
L_minus_G,NSE,17,03050000,0.043136165668498316
L_minus_G,NSE,17,01632000,0.08618733363161324
L_minus_G,NSE,17,04221000,0.14766790988123824
L_minus_G,NSE,17,03021350,0.13312089172984842
L_minus_G,NSE,17,01583500,0.13228385336028814
L_minus_G,NSE,17,02059500,0.15194695900371746
L_minus_G,NSE,17,01666500,0.1421628057240666
L_minus_G,NSE,17,03187500,0.09742657460790549
L_minus_G,NSE,17,01181000,0.054560063492644195
L_minus_G,NSE,17,01440400,-0.0046806080565849895
L_minus_G,NSE,17,01435000,0.09585353681295405
L_minus_G,NSE,17,01144000,0.05665306112765911
L_minus_G,NSE,17,02011460,0.11950946940100349
L_minus_G,NSE,17,02143000,0.09966480846774517
L_minus_G,NSE,17,03140000,0.051673960562025556
L_minus_G,NSE,17,01440000,0.06527193128044606
L_minus_G,NSE,17,01550000,0.08730416924896955
L_minus_G,NSE,17,02077200,-0.029402988697308174
L_minus_G,NSE,17,03237500,0.11601518073282668
L_minus_G,NSE,17,02018000,0.07913857471867558
L_minus_G,NSE,17,02013000,0.04621356297352108
L_minus_G,NSE,17,03161000,0.15352092619827773
L_minus_G,NSE,17,04197170,0.04664770779826466
L_minus_G,NSE,17,03471500,0.09663963625878447
L_minus_G,NSE,17,01137500,-0.0007884853410456971
L_minus_G,NSE,17,01052500,0.08005511506520668
L_minus_G,NSE,17,02051000,-0.009721085152450515
L_minus_G,NSE,17,01057000,0.03970812467675011
L_minus_G,NSE,17,03144000,0.10787283532419956
L_minus_G,NSE,17,03078000,0.018666809130100437
L_minus_G,NSE,17,03170000,0.03791801874803269
L_minus_G,NSE,17,02038850,0.11489933748288428
L_minus_G,NSE,17,03241500,0.03650068552871055
L_minus_G,NSE,17,02064000,-0.02213875231821061
L_minus_G,NSE,17,02096846,0.11185880499899725
L_minus_G,NSE,17,02055100,-0.09944531085373198
L_minus_G,NSE,17,04213075,0.21128999909357493
L_minus_G,NSE,17,01333000,-0.005934726497101694
L_minus_G,NSE,17,01552500,0.06959158600145288
L_minus_G,NSE,17,04115265,0.15211024543882723
L_minus_G,NSE,17,03500000,0.05607275706785442
L_minus_G,NSE,17,01544500,0.12117966017875781
L_minus_G,NSE,17,02149000,0.105361829991932
L_minus_G,NSE,17,01552000,0.07648629005173779
L_minus_G,NSE,17,03159540,0.05281792474214431
L_minus_G,NSE,17,01414500,0.014201836550307378
L_minus_G,NSE,17,01542810,0.11534460161163174
L_minus_G,NSE,17,01667500,0.0465377486027303
L_minus_G,NSE,11,03456500,-0.04925739661977557
L_minus_G,NSE,11,03182500,0.10189568520776049
L_minus_G,NSE,11,01539000,0.1144895113561657
L_minus_G,NSE,11,01350000,0.058433573606216926
L_minus_G,NSE,11,03238500,-0.10083495423057554
L_minus_G,NSE,11,01030500,0.13530435265703178
L_minus_G,NSE,11,01365000,0.026884417750520195
L_minus_G,NSE,11,03460000,0.061814256169594795
L_minus_G,NSE,11,02046000,0.036131677662722406
L_minus_G,NSE,11,03028000,0.07647199752142875
L_minus_G,NSE,11,01350080,-0.28230670492837784
L_minus_G,NSE,11,01484100,0.08152910970986993
L_minus_G,NSE,11,02015700,0.09983824845257971
L_minus_G,NSE,11,04224775,0.1424030613475572
L_minus_G,NSE,11,01466500,0.25816426206408827
L_minus_G,NSE,11,02016000,0.080648266543079
L_minus_G,NSE,11,01134500,0.11224463153871633
L_minus_G,NSE,11,01518862,0.17146391615475975
L_minus_G,NSE,11,01545600,0.13912504293236327
L_minus_G,NSE,11,04197100,-0.192346367844077
L_minus_G,NSE,11,01549500,0.03510021588902312
L_minus_G,NSE,11,02140991,0.023998245185024247
L_minus_G,NSE,11,03049000,0.017445272752330543
L_minus_G,NSE,11,02111500,0.08732988860861612
L_minus_G,NSE,11,03450000,0.02310011420094038
L_minus_G,NSE,11,04122200,0.05347761554877983
L_minus_G,NSE,11,02053800,-0.2810577873355862
L_minus_G,NSE,11,04196800,0.08566275531488998
L_minus_G,NSE,11,02017500,0.06682491517994982
L_minus_G,NSE,11,03165000,-0.1560991445829114
L_minus_G,NSE,11,01543000,0.08429022725806679
L_minus_G,NSE,11,01491000,-0.012806638799676584
L_minus_G,NSE,11,02051500,0.11140603206665234
L_minus_G,NSE,11,02070000,0.07328840285514349
L_minus_G,NSE,11,01415000,-0.1179216307662343
L_minus_G,NSE,11,03011800,0.03358811185392274
L_minus_G,NSE,11,02014000,-0.0628672107782764
L_minus_G,NSE,11,02028500,-0.01613418975730685
