basin,L__NSE,L__KGE,L__logNSE,G__NSE,G__KGE,G__logNSE,G+T__NSE,G+T__KGE,G+T__logNSE,G+M__NSE,G+M__KGE,G+M__logNSE,G+T+M__NSE,G+T+M__KGE,G+T+M__logNSE
03456500,0.5038683946018855,0.6537419338814713,0.6158872105190352,0.5498250414743516,0.09353928654061398,0.4006600938824267,0.547736921022555,0.06961012731692273,0.3694619038481876,0.5667057786227385,0.21112152403161608,0.388302929707546,0.5587489658819261,0.09858013590912307,0.3601336057209262
03182500,0.7656943275208504,0.8511386519929718,0.7785997573377313,0.7225903425706554,0.35502221398354994,,0.7262533295340905,0.41328570744673243,,0.7211022406126375,0.38039251957090164,,0.7228879568223157,0.2310735164836796,
01539000,0.7565066213173203,0.7014546732257498,0.8331884919870256,0.5684331796883256,0.326741923085291,0.6778389734571126,0.5625638713180806,0.4829050726144904,0.6789811379072832,0.5849124168868505,0.4686009751397628,0.6692500448976472,0.5775144317628179,0.5048228260921487,0.6548431396030805
01350000,0.7306327540106675,0.8195203313327064,0.8178770644456929,0.6543957111508012,0.6748109066210599,0.6901738445508626,0.6563998783502704,0.6533539620330923,0.6755534374128186,0.7024116615864076,0.744065862238501,0.7135855555455414,0.6865049627818983,0.7440990702844189,0.7099807449418756
03238500,0.5641116747318714,0.7050366039529113,0.5392651065703499,0.6198910262640888,0.32445514593505426,,0.6196739287992906,0.3015694506147639,,0.6222199897162684,0.29709014179246773,,0.6015666920902877,0.23414682732420644,
01030500,0.7983310768770181,0.7530630572934617,0.8194666121696724,0.6683695803162438,0.6066652628521848,0.7106653379625464,0.6750796417755428,0.7295135355845099,0.7210082661984382,0.6862438495582636,0.7298821839906795,0.7233242420385576,0.6885385974493987,0.5420465660359518,0.7290930856990712
01365000,0.7267505051188227,0.6894433098316695,0.7955948217806049,0.6667500289695414,0.5115222838460359,0.5996820481038115,0.6710006318359859,0.5127378466768945,0.6274447002849229,0.7211255037802,0.6119062756352137,0.592276744150063,0.7092166319354142,0.6305370071555342,0.5818569653370956
03460000,0.5217359533936105,0.7053186575487267,0.6577963713235535,0.6639105855778494,-3.1302659683985667,0.4735255299668919,0.6357052652833489,-4.242369583665964,0.464291283159179,0.4530189310354613,-4.9309600912789024,0.36482046784561645,0.40512550346289244,-6.8037099786607165,0.38230661431573365
02046000,0.6631685152274059,0.6237043899236899,0.6050441637685026,0.6306374617690146,0.6319081103929084,,0.6261759648801425,0.6160455944276292,,0.6603537542097317,0.6442817360519958,,0.6059728972483693,0.5840494794633463,
03028000,0.8017947668526673,0.8298610323050198,0.7898048140140128,0.7228451604317249,0.4135314911633093,0.6652817455392335,0.7235558835409047,0.562292528371264,0.6856586165644559,0.7358058797956607,0.413660572699567,0.6811191396859965,0.718515479504627,0.5045760035890569,0.6740723463917441
01350080,0.08178541835497555,0.4181724687319656,0.7128777121380985,0.48245473134783295,-2.411794940134826,0.48423753294894484,0.48354171270685287,-2.8561589711431075,0.46995654494435907,0.4808296190070854,-1.951089750775181,0.5127130583433285,0.39663619882294016,-2.8259467488670986,0.469563069221008
01484100,0.42527347138615496,0.6740921235875051,0.342178910620488,0.3165579678087861,0.5661881999870187,,0.30866229451310107,0.5591712007558584,,0.28122802606719566,0.5815175869070907,,0.2881567237678146,0.5687285878897409,
02015700,0.701785068020134,0.6840034151483402,0.7359576747778439,0.6453740596116655,0.49896441707550854,,0.659208534643377,0.581276656292053,,0.6239638039243487,0.47989548313418545,,0.6329392498249423,0.5621862197843571,
04224775,0.6796134889775267,0.7727010200829447,0.782233919754419,0.5926273112287312,0.5331353943791336,,0.5980096082104992,0.5878308568400907,,0.5618094636207643,0.5401020293714489,,0.5416490544387572,0.5763884440428525,
01466500,0.22842408010475757,0.6339086756272052,0.4280336958419115,-0.11797241572503943,0.5063254356607904,,-0.15671098738556855,0.48501494396708805,,-0.5458353601491496,0.34261663923740365,,-0.6713214195227546,0.31090265918062016,
02016000,0.7846598577704101,0.7685042650877666,0.7201138173395237,0.6990724123800959,0.540620683700408,,0.7387268168906503,0.6411302653293275,,0.7123338294470312,0.5849071224331325,,0.7215227906523215,0.573271354745794,
01134500,0.7272253885584341,0.7504244274359416,0.8095827746927515,0.6517862520676831,0.5055391533077325,0.643273667886486,0.6664823454165961,0.5546442905834514,0.6540302789810223,0.6632957502069607,0.5797880765966942,0.6385144523519174,0.6710479817860234,0.5995086046481773,0.6482601200534043
01518862,0.7401603678533263,0.7908598856042203,0.6524492127200087,0.5912159188262902,0.6243993421832996,,0.6017471097541898,0.5949182995733749,,0.578897604358152,0.6640563738499309,,0.5522423465496792,0.539204153708635,
01545600,0.671712953422314,0.7770459521969916,0.6686057883359503,0.5606388233582127,0.5015786433479096,,0.5568729335336144,0.3922495943960338,,0.5483428814778439,0.5132551127067879,,0.513326599881769,0.43935577218534433,
04197100,0.617276179577486,0.7367243156105436,0.7129375366176666,0.6894833864472245,0.06589872678260189,,0.6978073727188886,0.08626762077574464,,0.6926580910595875,0.3449221293190603,,0.6782927146974523,0.12917998027763167,
01549500,0.6483109347319748,0.683900879921222,0.6552779446028757,0.640319716357,-0.494307186780057,,0.6469604485486383,-0.6547122828849641,,0.6350015261410423,-0.4328001667171624,,0.610393337352282,-0.5073859333176892,
02140991,0.4890409143206045,0.7088210612771757,0.5592776487347554,0.5039194756188498,0.2568447296510038,,0.4836607576010145,0.07959838665695329,,0.48917304883594864,0.22816804748091643,,0.5149941820989662,0.25106706111124016,
03049000,0.7371064422737229,0.8257267417626273,0.7007142083411169,0.7185278509879812,0.41740785503594574,,0.7216303023039714,0.6093507292515092,,0.7168162073087708,0.6986016107862998,,0.7153757787018393,0.610383194492582,
02111500,0.4068181216646778,0.5936398186211391,0.25953347739301375,0.35469502137963643,0.3793389466385564,,0.33018409044318914,0.3663583756179613,,0.41227637115362686,0.4001488337057057,,0.3629319008371225,0.4009075391127168,
03450000,0.5782281834395585,0.7300095197645206,0.6208340697374454,0.5597831853440766,-1.9068960606140177,,0.5380400960429198,-3.5419949076801465,,0.5106350523906776,-2.6060993949071527,,0.5251615676776457,-0.6988457121487596,
04122200,0.7525061619009449,0.8329657272744296,0.8016823525912028,0.6659931965636334,0.7614855385148919,,0.6354386765639669,0.7284473607438152,,0.4694761387693152,0.6619301768919476,,0.48185749328668354,0.6939906853099606,
