basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0038480158,True
08103900,0.012126566,True
08104900,0.0062882085,True
08109700,0.0074956524,True
08150800,0.004918623,True
08155200,0.007503867,True
08158700,0.009024962,True
08158810,0.018752554,True
08164000,0.006861084,True
08164300,0.010475073,True
08165300,0.018158127,True
08171300,0.0061502494,True
08175000,0.0048863576,True
08176900,0.008464921,True
08178880,0.005629545,True
08189500,0.003587041,True
08190000,0.019071596,True
08190500,0.022966841,True
08195000,0.01928618,True
08196000,0.021289324,True
08198500,0.009362574,True
08200000,0.003428769,True
08202700,0.004430814,True
