basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0052442523,True
08103900,0.0073728445,True
08104900,0.001985741,True
08109700,0.0066697267,True
08150800,0.0073707425,True
08155200,0.0061056353,True
08158700,0.009275201,True
08158810,0.021122802,True
08164000,0.0044862004,True
08164300,0.009969115,True
08165300,0.01786078,True
08171300,0.008649897,True
08175000,0.0057833022,True
08176900,0.0045218896,True
08178880,0.0064925663,True
08189500,0.0020108463,True
08190000,0.019566648,True
08190500,0.02375411,True
08195000,0.010401274,True
08196000,0.031716548,True
08198500,0.010733222,True
08200000,0.0057288557,True
08202700,0.015176087,True
