basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.021630697,True
08103900,0.03754725,True
08104900,0.010624637,True
08109700,0.0283914,True
08150800,0.030245217,True
08155200,0.032783713,True
08158700,0.059235673,True
08158810,0.061096497,True
08164000,0.016440498,True
08164300,0.030665355,True
08165300,0.07303031,True
08171300,0.041761532,True
08175000,0.024712825,True
08176900,0.027111351,True
08178880,0.027535498,True
08189500,0.011029301,True
08190000,0.08131197,True
08190500,0.08994633,True
08195000,0.04583953,True
08196000,0.13369349,True
08198500,0.046487067,True
08200000,0.020010289,True
08202700,0.08176669,True
