basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0074297455,True
08103900,0.010912815,True
08104900,0.0026942766,True
08109700,0.006367652,True
08150800,0.0068556713,True
08155200,0.006570396,True
08158700,0.0074702203,True
08158810,0.015204835,True
08164000,0.0036666691,True
08164300,0.008075165,True
08165300,0.020755839,True
08171300,0.0069587324,True
08175000,0.0041370895,True
08176900,0.0039273,True
08178880,0.00574372,True
08189500,0.0025183838,True
08190000,0.02859225,True
08190500,0.030381259,True
08195000,0.014573645,True
08196000,0.031745933,True
08198500,0.013669224,True
08200000,0.004828567,True
08202700,0.008513947,True
