basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0035562653,True
08103900,0.006539082,True
08104900,0.001620347,True
08109700,0.0053416723,True
08150800,0.004350835,True
08155200,0.004696721,True
08158700,0.007855128,True
08158810,0.0133893965,True
08164000,0.0032883054,True
08164300,0.007558904,True
08165300,0.011768581,True
08171300,0.0062087555,True
08175000,0.0035223917,True
08176900,0.0028554196,True
08178880,0.004225466,True
08189500,0.0016368534,True
08190000,0.017149221,True
08190500,0.019642206,True
08195000,0.008432253,True
08196000,0.019195871,True
08198500,0.0074816844,True
08200000,0.003029283,True
08202700,0.0062147714,True
