basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.14754592
08103900,1,True,0.19492272
08104900,1,True,0.14712888
08109700,1,True,0.06161842
08150800,1,True,0.057219274
08155200,1,True,0.09172096
08158700,1,True,0.14811037
08158810,1,True,0.14261094
08164000,1,True,0.07760274
08164300,1,True,0.12130041
08165300,1,True,0.05468329
08171300,1,True,0.09828214
08175000,1,True,0.090032086
08176900,1,True,0.15271631
08178880,1,True,0.05223085
08189500,1,True,0.08427176
08190000,1,True,0.112438396
08190500,1,True,0.17702903
08195000,1,True,0.10636605
08196000,1,True,0.11332245
08198500,1,True,0.11751882
08200000,1,True,0.0663669
08202700,1,True,0.09073907
