basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.003736248,True
08103900,0.013144945,True
08104900,0.0044006268,True
08109700,0.010456441,True
08150800,0.0070547727,True
08155200,0.009616855,True
08158700,0.005859039,True
08158810,0.013532798,True
08164000,0.00765195,True
08164300,0.010990551,True
08165300,0.028028024,True
08171300,0.008400207,True
08175000,0.005507179,True
08176900,0.005742061,True
08178880,0.0042566485,True
08189500,0.0039323405,True
08190000,0.0153302755,True
08190500,0.026761618,True
08195000,0.0066130655,True
08196000,0.008649493,True
08198500,0.0076559875,True
08200000,0.0032105478,True
08202700,0.010169754,True
