basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0055078976,True
08103900,0.009851312,True
08104900,0.0048200455,True
08109700,0.0058042873,True
08150800,0.005240679,True
08155200,0.0069151646,True
08158700,0.0099443905,True
08158810,0.019633524,True
08164000,0.006187993,True
08164300,0.010620889,True
08165300,0.013523437,True
08171300,0.0075913677,True
08175000,0.0070300763,True
08176900,0.010167386,True
08178880,0.0049866713,True
08189500,0.0022976573,True
08190000,0.019223962,True
08190500,0.023145102,True
08195000,0.01945469,True
08196000,0.026011404,True
08198500,0.012096144,True
08200000,0.0056880694,True
08202700,0.009519584,True
