basin,max_dev_post_T_normalized,success_below_30pct
08101000,0.0027674343,True
08103900,0.006905907,True
08104900,0.0017052145,True
08109700,0.009249644,True
08150800,0.0057948646,True
08155200,0.0052525643,True
08158700,0.008101888,True
08158810,0.015109966,True
08164000,0.0028477982,True
08164300,0.007029684,True
08165300,0.013512246,True
08171300,0.007980471,True
08175000,0.0052750423,True
08176900,0.00285831,True
08178880,0.007583266,True
08189500,0.0014414839,True
08190000,0.020137912,True
08190500,0.02061755,True
08195000,0.011318649,True
08196000,0.02587297,True
08198500,0.011232785,True
08200000,0.0037378839,True
08202700,0.0066549107,True
