basin,depth,model,low_power_0_25,mid_power_25_75,high_power_75_100,total_power,high_frac,obs_std,resid_std
08101000,1,baseline,0.21586904198032084,0.22911403601648533,0.04461066284449969,0.4895937408413059,0.09111771479725582,0.9691852,0.6561716
08101000,1,graph_warm,0.19928637015017134,0.2077341868024869,0.03432389822957009,0.4413444551822283,0.07777122342093994,0.9691852,0.63505197
08101000,1,graph_frozen,0.18866601312430753,0.21454237323606562,0.052296234005899556,0.4555046203662727,0.11480944795652784,0.9691852,0.63060516
08103900,0,baseline,0.3413624638510484,0.34652471321476913,0.18183000877492753,0.8697171858407451,0.20906797259520019,1.1276157,0.85739785
08103900,0,graph_warm,0.3231183400441004,0.3162499193437216,0.1728446345458628,0.8122128939336848,0.21280705568308195,1.1276157,0.83321834
08103900,0,graph_frozen,0.3413624638510484,0.34652471321476913,0.18183000877492753,0.8697171858407451,0.20906797259520019,1.1276157,0.85739785
08104900,1,baseline,0.4641367649759802,1.0855723808522073,0.6037353861500082,2.1534445319781956,0.2803579925949638,1.9087619,1.2244706
08104900,1,graph_warm,0.43118780107557186,0.9494608267645285,0.5152858487071554,1.8959344765472557,0.2717846292059409,1.9087619,1.1516464
08104900,1,graph_frozen,0.42373128739120547,1.032360859013294,0.5990038386332092,2.055095985037709,0.2914724387543476,1.9087619,1.1948179
08109700,1,baseline,0.09491903605302468,0.05167696309836327,0.0055269155807572985,0.15212291473214523,0.03633190693518444,0.5369993,0.35220513
08109700,1,graph_warm,0.09013273163222185,0.04741651215869877,0.005300844008499268,0.14285008779941988,0.03710774064026018,0.5369993,0.34911758
08109700,1,graph_frozen,0.12388089511660536,0.05606326052381838,0.005795494473673477,0.1857396501140972,0.031202247178313235,0.5369993,0.39302438
08150800,0,baseline,0.12612060655888507,0.22140670354239886,0.0895478459132509,0.43707515601453484,0.2048797436344632,0.34300986,0.57625115
08150800,0,graph_warm,0.14525220444106557,0.2624178343678224,0.10845525247235857,0.5161252912812465,0.21013357474330635,0.34300986,0.62712586
08150800,0,graph_frozen,0.12612060655888507,0.22140670354239886,0.0895478459132509,0.43707515601453484,0.2048797436344632,0.34300986,0.57625115
08155200,1,baseline,0.1150559610215267,0.02989156509434523,0.008854295917924138,0.15380182203379605,0.05756951251187723,0.4137605,0.37479186
08155200,1,graph_warm,0.10731601555866552,0.025012879714109162,0.00844027342122663,0.1407691686940013,0.059958252929473335,0.4137605,0.35762382
08155200,1,graph_frozen,0.10582321801373928,0.025001788280036335,0.008404604467308951,0.1392296107610846,0.06036506473993593,0.4137605,0.35601616
08158700,1,baseline,0.06797951587080019,0.017381963488782844,0.00861704190160342,0.09397852126118644,0.09169160980576417,0.36413842,0.2931663
08158700,1,graph_warm,0.050104380487581174,0.014873290890690748,0.008951722154993355,0.07392939353326528,0.12108475028900971,0.36413842,0.26274478
08158700,1,graph_frozen,0.06022222492697275,0.015911084287595127,0.008667121173815432,0.08480043038838331,0.10220609888558689,0.36413842,0.27938184
08158810,0,baseline,0.08937693387084078,0.03221054438131095,0.01599715751366957,0.1375846357658213,0.11627139487360968,0.505923,0.37720335
08158810,0,graph_warm,0.08083783060767785,0.02709884211787221,0.014833506364657693,0.12277017909020775,0.12082336667244321,0.505923,0.34701994
08158810,0,graph_frozen,0.08937693387084078,0.03221054438131095,0.01599715751366957,0.1375846357658213,0.11627139487360968,0.505923,0.37720335
08164000,3,baseline,0.20870651012879216,0.1452928770688886,0.011575926541456871,0.36557531373913765,0.03166495686773059,0.9104057,0.59275186
08164000,3,graph_warm,0.22713683475228685,0.14978675239309344,0.012013765136249367,0.3889373522816296,0.030888689568571437,0.9104057,0.60885835
08164000,3,graph_frozen,0.19886384754164496,0.14748720688866457,0.011992825330822323,0.35834387976113186,0.033467364752585174,0.9104057,0.59191746
08164300,2,baseline,0.09379460843531763,0.08187550286358836,0.020126804234842643,0.19579691553374862,0.10279428651864272,0.54058874,0.42975563
08164300,2,graph_warm,0.07902435996848428,0.07711115602963262,0.018197281933237,0.1743327979313539,0.10438243491280653,0.54058874,0.40539327
08164300,2,graph_frozen,0.07897249000484634,0.07422009667696526,0.0165033522190837,0.1696959389008953,0.09725248774940855,0.54058874,0.40572393
08165300,0,baseline,0.041793636958380856,0.0567909559998323,0.020257051421840026,0.11884164438005318,0.17045414953245164,0.11589223,0.31091866
08165300,0,graph_warm,0.06680162977854684,0.10513754421669345,0.04138018475201412,0.2133193587472544,0.1939823230063348,0.11589223,0.40954864
08165300,0,graph_frozen,0.041793636958380856,0.0567909559998323,0.020257051421840026,0.11884164438005318,0.17045414953245164,0.11589223,0.31091866
08171300,1,baseline,0.05865265761333237,0.028987991909591664,0.01274636402921065,0.10038701355213468,0.12697224051386877,0.45748687,0.3133794
08171300,1,graph_warm,0.05297519341202689,0.029080912956825536,0.012974398351340309,0.09503050472019273,0.136528774518688,0.45748687,0.30287513
08171300,1,graph_frozen,0.05111796786363544,0.027616212981849506,0.012692007543790622,0.09142618838927558,0.13882245084691086,0.45748687,0.29770923
08175000,2,baseline,0.04715403190563794,0.015995481788981022,0.0006671920304651955,0.06381670572508416,0.010454817792372275,0.42101538,0.25909168
08175000,2,graph_warm,0.049379101928985716,0.017657013973130783,0.0005838365284546685,0.06761995243057117,0.00863408664852468,0.42101538,0.2668064
08175000,2,graph_frozen,0.056502750004155264,0.019117346370450764,0.0006326891090807122,0.07625278548368675,0.0082972589796876,0.42101538,0.2809149
08176900,0,baseline,0.09853907049678245,0.13430459949463103,0.017845732844150454,0.25068940283556396,0.07118662632842164,0.639502,0.4563521
08176900,0,graph_warm,0.06945425021473878,0.15929202643529405,0.01704618867726771,0.24579246532730054,0.06935195777693502,0.639502,0.45060372
08176900,0,graph_frozen,0.09853907049678245,0.13430459949463103,0.017845732844150454,0.25068940283556396,0.07118662632842164,0.639502,0.4563521
08178880,1,baseline,0.05782953780645393,0.03685011271375914,0.015136991343678588,0.10981664186389166,0.13783877458609228,0.50055444,0.33757332
08178880,1,graph_warm,0.05797808006300575,0.035562214666448634,0.014598758561439504,0.10813905329089388,0.13499987393239765,0.50055444,0.326763
08178880,1,graph_frozen,0.054780324792707114,0.031227551147375927,0.010645661589306613,0.09665353752938965,0.11014249308846624,0.50055444,0.31318775
08189500,3,baseline,0.027796006476791868,0.016945812832601777,0.001072506404758359,0.045814325714152004,0.023409848077870166,0.4993531,0.19928919
08189500,3,graph_warm,0.014293007906861192,0.012459377249066175,0.000941159046466093,0.02769354420239346,0.033984781420095436,0.4993531,0.16221114
08189500,3,graph_frozen,0.025582371907246847,0.017362611571767553,0.0011076857752322497,0.044052669254246654,0.025144577933276298,0.4993531,0.1989634
08190000,1,baseline,0.013270232243929916,0.006021920874243462,0.0027595981810953946,0.02205175129926877,0.1251419056765302,0.18653998,0.1439049
08190000,1,graph_warm,0.012201516807572827,0.005570896053745911,0.0023805131526724995,0.020152926013991237,0.11812245780190034,0.18653998,0.13784142
08190000,1,graph_frozen,0.014622293868219656,0.006421650714725358,0.0026022496939354057,0.023646194276880417,0.11004940852066424,0.18653998,0.14670435
08190500,1,baseline,0.013004596844222529,0.009688588375930838,0.0027202646252707336,0.0254134498454241,0.107040352325898,0.11772583,0.15284862
08190500,1,graph_warm,0.019154543026746955,0.01550568559943497,0.004570569419394191,0.03923079804557612,0.11650462511836651,0.11772583,0.18648899
08190500,1,graph_frozen,0.016202298772669987,0.010860167619888325,0.002763204676036373,0.029825671068594684,0.09264518037771577,0.11772583,0.16742359
08195000,1,baseline,0.01743049365613853,0.015787711990837665,0.004963748259925492,0.03818195390690168,0.1300024684967276,0.32393008,0.19069228
08195000,1,graph_warm,0.02143318831022885,0.02367157364584823,0.006814907091105581,0.05191966904718266,0.13125867741784808,0.32393008,0.2127996
08195000,1,graph_frozen,0.02053736066250489,0.02142871513389791,0.006193144612694626,0.048159220409097425,0.12859727711715038,0.32393008,0.20579532
08196000,0,baseline,0.026584467255143022,0.019906627699235253,0.007963740583783067,0.05445483553816134,0.14624487440058775,0.27336356,0.22752658
08196000,0,graph_warm,0.028685309705764495,0.018993002364421675,0.007698172204583309,0.055376484274769475,0.13901518497249085,0.27336356,0.22981793
08196000,0,graph_frozen,0.026584467255143022,0.019906627699235253,0.007963740583783067,0.05445483553816134,0.14624487440058775,0.27336356,0.22752658
08198500,1,baseline,0.06298479289610098,0.12417989912397423,0.0633491351608348,0.25051382718091003,0.25287680074875407,0.53435326,0.47871217
08198500,1,graph_warm,0.07544666092839131,0.13162316707544183,0.06700348264445845,0.2740733106482916,0.24447284737783753,0.53435326,0.502263
