depth,n_basins,baseline_median_highpow,graph_warm_median_highpow,graph_frozen_median_highpow,warm_vs_base_ratio,frozen_vs_base_ratio,warm_vs_base_pct_reduction
0,7,0.020257051421840026,0.04138018475201412,0.020257051421840026,2.0427545890217913,1.0,-104.27545890217912
1,12,0.010800329973567394,0.010963060253166831,0.009656391381561023,1.0150671581329183,0.8940829960930792,-1.5067158132918257
2,2,0.01039699813265392,0.009390559230845835,0.008568020664082207,0.903199087951439,0.8240860058609194,9.680091204856101
3,2,0.006324216473107615,0.00647746209135773,0.006550255553027287,1.0242315579964347,1.035741831558242,-2.4231557996434727
